Prototype	# Species▴	# Atoms	Pearson Symbol	AFLOW Prototype	Space Group Symbol	Space Group Number	Notes
As	1	2	hR2	A_hR2_166_c	R3ˉm	166	α–As (A7) Structure
B	1	12	hR12		A_hR12_166_2h	R3ˉm	166	α–B (hR12) Structure
B	1	105	hR105		A_hR105_166_bc9h4i	R3ˉm	166	β–B (R–105) Structure
B	1	50	tP50​	A_tP50_134_b2m2n	P42​/nnm	134	T–50 B (Ag​) Structure
C	1	4	hP4		A_hP4_186_ab	P63​mc	186	Buckled Graphite Structure
C	1	12	tP12		A_tP12_138_bi	P42​/ncm	138	C (T12 Group IV) Structure
C	1	2	cF8	A_cF8_227_a	Fd3ˉm	227	Diamond (A4) Structure
C	1	60	cF240		A_cF240_202_h2i	Fm3ˉ	202	FCC C60 Buckminsterfullerene Structure
C	1	4	hP4	A_hP4_194_bc	P63​/mmc	194	Hexagonal Graphite (A9) Crystal Structure
C	1	6	hP6		A_hP6_194_h	P63​/mmc	194	Hypothetical Tetrahedrally Bonded Carbon with 3–Member Rings
C	1	4	tI8		A_tI8_139_h	I4/mmm	139	Hypothetical Tetrahedrally Bonded Carbon with 4–Member Rings
C	1	4	hP4		A_hP4_194_f	P63​/mmc	194	Lonsdaleite (Hexagonal Diamond) Structure
C	1	8	mC16		A_mC16_12_4i	C2/m	12	M–carbon Structure
C	1	16	oP16		A_oP16_55_2g2h	Pbam	55	R–carbon Structure
C	1	2	hR2		A_hR2_166_c	R3ˉm	166	Rhombohedral Graphite Structure
C	1	8	mP8		A_mP8_10_2m2n	P2/m	10	S–carbon Structure
C	1	240	cP240		A_cP240_205_10d	Pa3ˉ	205	Simple Cubic C60 Buckminsterfullerene Structure
Cf	1	4	aP4		A_aP4_2_aci	P1ˉ	2	Cf Structure
Cl	1	16	tP16	A_tP16_138_j	P42​/ncm	138	Cl (A18) Structure
Cu	1	1	cF4	A_cF4_225_a	Fm3ˉm	225	Face–Centered Cubic (Cu, A1, fcc) Structure
Ga	1	4	oS8	A_oS8_64_f	Cmca	64	α–Ga (A11) Structure
Ga	1	2	mC4		A_mC4_15_e	C2/c	15	β–Ga (obsolete) Structure
H	1	12	mC24		A_mC24_15_2e2f	C2/c	15	H–III (300 GPa) Structure
Hg	1	1	hR1	A_hR1_166_a	R3ˉm	166	α–Hg (A10) Structure
HgSn6–10	1	hP1	Af​	A_hP1_191_a	P6/mmm	191	Simple Hexagonal Lattice (Af​)
I	1	4	oS8	A_oS8_64_f	Cmca	64	Molecular Iodine (I, A14) Crystal Structure
In	1	1	tI2	A_tI2_139_a	I4/mmm	139	In (A6) Structure
La	1	4	hP4′	A_hP4_194_ac	P63​/mmc	194	α–La (A3′) Structure
Li	1	8	cI16		A_cI16_220_c	I4ˉ3d	220	High–pressure cI16 Li Structure
Mg	1	2	hP2	A_hP2_194_c	P63​/mmc	194	Hexagonal Close Packed (Mg, A3, hcp) Structure
Mn	1	29	cI58	A_cI58_217_ac2g	I4ˉ3m	217	α–Mn (A12) Structure
Mn	1	20	cP20	A_cP20_213_cd	P41​32	213	β–Mn (A13) Structure
N	1	8	cP8		A_cP8_198_2a	P21​3	198	α–N (P213) Structure
N	1	8	cP8		A_cP8_205_c	Pa3ˉ	205	α–N (Pa3) Structure
N	1	4	tP4		A_tP4_136_f	P42​/mnm	136	γ–N Structure
Np	1	8	oP8​	A_oP8_62_2c	Pnma	62	α–Np (Ac​) Structure
Np	1	4	tP4​	A_tP4_129_ac	P4/nmm	129	β–Np (Ad​) Structure
O	1	2	mC4		A_mC4_12_i	C2/m	12	α–O Structure
O	1	2	hR2		A_hR2_166_c	R3ˉm	166	β–O Structure
